step	post	like	prior	mu1	mu2	gamma	pi	spa1	spa2	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	Tinf_116	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	alpha_116	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115	kappa_116
27500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.461912868263752	0.000190471337229	0.000061866074762	0.324805168390369	0.132119930959159	0.000000000000000	0.000000000000000	-1	4	-3	-1	13	2	6	13	4	-5	2	-1	6	-5	3	16	6	-3	2	0	12	1	9	13	14	8	19	2	-1	10	1	1	-2	1	10	2	2	6	-2	2	7	-1	1	-5	-3	2	-6	11	2	10	11	-2	2	8	-6	-6	-1	-5	3	-6	-1	10	-4	3	-4	7	2	1	12	5	-2	-2	-6	20	-4	7	-6	12	17	-5	-3	-2	0	2	-1	-4	11	-6	16	-3	9	3	4	1	1	8	1	6	-4	2	1	-5	14	-1	12	-5	11	-1	-2	1	14	-5	-6	11	36	-2	30	101	113	0	65	0	69	73	78	4	76	19	66	35	101	20	4	53	94	22	78	111	48	18	92	14	40	95	108	58	19	31	46	112	30	4	33	64	31	113	1	40	17	31	40	49	19	111	75	30	76	106	38	86	27	58	53	100	52	33	100	74	76	76	77	81	36	2	115	3	80	46	30	62	110	87	36	86	110	52	29	85	99	18	62	42	85	7	100	32	73	78	102	1	102	31	43	62	108	5	49	44	11	22	105	109	0	86	13	0	30	21	46	100	0	112	1	1	2	1	7	1	7	9	7	2	5	1	7	12	8	11	9	9	7	8	8	1	5	11	11	1	3	9	4	9	5	4	6	2	13	15	12	3	3	1	15	13	3	11	1	13	7	16	9	13	5	15	12	12	2	3	11	12	11	16	9	4	10	10	11	2	11	5	12	3	15	11	3	3	6	15	10	17	7	8	11	4	4	10	15	11	6	8	3	12	7	13	13	17	15	11	17	11	9	9	16	14	6	15	11	14	1	15	13	1	12	16	1	7	1	6
28000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.584243878424187	0.000243911072636	0.000060264481431	0.247075627930584	0.123521691665515	0.000000000000000	0.000000000000000	2	11	4	4	-2	7	3	9	4	16	13	9	6	3	3	1	1	5	3	-5	-6	12	12	14	4	-2	9	-1	5	19	1	10	13	8	4	1	7	8	8	3	13	2	9	1	-4	0	5	1	-1	5	0	13	-6	-2	1	0	8	9	3	-4	5	16	-4	2	10	-6	-5	7	5	-3	5	-2	14	10	1	22	5	-2	11	9	9	5	9	9	8	4	3	13	4	2	-6	13	-2	3	1	0	-4	10	4	-6	-3	6	9	0	6	-3	24	2	5	16	4	-5	7	-1	16	6	41	69	50	0	41	0	36	65	98	68	56	37	21	90	37	92	61	98	8	86	14	87	96	45	13	81	59	70	112	24	61	113	14	43	50	49	93	39	33	4	14	100	4	105	35	49	69	35	44	4	98	76	14	75	113	58	67	67	64	61	50	45	1	29	111	82	56	84	87	14	95	17	96	84	18	115	101	92	5	110	9	36	60	110	52	94	110	42	103	108	27	101	114	13	54	37	51	20	31	58	3	111	26	41	31	36	0	48	111	0	48	43	56	10	0	79	3	2	2	1	2	1	4	7	7	11	4	3	10	6	8	7	1	6	4	9	10	11	10	10	7	8	3	7	7	13	7	7	9	6	13	15	11	9	9	9	15	13	6	2	8	13	14	16	2	13	14	15	10	11	2	8	11	12	12	4	6	1	11	7	9	16	5	10	1	7	15	12	1	2	10	15	6	17	1	8	4	2	11	3	9	1	11	11	1	8	9	14	13	17	15	2	17	4	1	1	16	14	3	15	11	14	1	15	12	1	10	16	1	9	1	9
28500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.519293116430692	0.000191238755491	0.000053910474066	0.281901406059438	0.134239371523134	0.000000000000000	0.000000000000000	6	-2	2	3	1	8	4	-1	7	-6	-1	-1	7	14	-4	3	-3	-4	-2	1	6	12	13	0	4	7	5	7	9	3	8	4	-6	-3	4	2	3	-3	10	-6	-3	4	4	-6	4	-1	4	16	5	-1	-6	-4	4	0	-5	3	16	-5	-4	-3	9	-3	3	0	10	3	3	5	3	-5	-5	6	-6	5	-5	12	-2	8	-2	-1	7	12	5	3	-1	4	-3	7	8	-1	-4	-4	-5	12	-4	6	8	2	6	17	-3	-1	6	8	4	-2	11	-3	4	12	0	-4	-3	-2	18	9	34	58	108	0	83	0	16	29	72	112	56	26	52	53	102	21	11	23	104	99	106	7	110	63	7	15	64	87	79	93	83	46	114	59	79	34	64	78	43	3	45	40	90	51	74	45	87	101	106	72	6	15	38	51	20	111	110	62	86	57	9	37	28	53	15	10	52	80	35	71	13	89	5	11	46	5	66	61	73	70	32	89	21	26	103	9	13	13	110	42	48	21	36	28	69	61	30	59	84	109	69	24	116	69	98	17	0	74	44	0	67	116	50	95	0	100	4	6	2	1	5	1	3	5	2	7	9	12	7	4	12	6	5	6	5	2	4	4	10	9	10	9	1	9	1	13	3	8	10	3	13	15	12	1	8	13	15	13	9	8	3	5	14	16	9	13	14	15	3	13	4	3	10	5	15	3	2	7	11	11	8	16	6	2	8	1	15	6	6	6	4	15	2	17	11	10	7	10	9	6	10	2	11	12	3	11	9	10	13	17	15	15	17	11	10	8	16	14	8	15	10	14	1	15	12	1	10	16	12	10	1	11
29000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.489282945623193	0.000186522376989	0.000056400769229	0.302380712379728	0.131663850044945	0.000000000000000	0.000000000000000	3	-2	6	4	-6	11	1	0	7	-6	-3	15	8	3	11	1	4	3	14	1	-5	-4	-3	-3	-6	8	8	6	3	-2	8	-2	0	2	-2	-3	-3	0	-1	7	5	12	6	-5	3	-5	14	-1	10	9	3	0	5	-3	0	-6	5	-2	6	-5	2	2	1	7	6	-4	-3	-2	-2	-4	-5	-1	1	11	2	1	12	-6	-4	11	-3	-2	-6	3	-1	3	5	1	5	-1	11	-2	-4	-6	-5	5	0	0	8	9	-1	-2	6	21	-5	-2	0	1	4	1	-1	3	11	-1	10	-4	92	76	25	0	29	0	74	45	60	47	64	1	49	8	86	23	84	22	82	82	34	50	26	66	66	27	47	28	38	67	49	48	85	68	39	10	44	87	9	81	58	65	84	63	2	10	35	89	107	54	2	54	6	31	32	70	91	65	87	109	53	83	35	92	61	23	97	111	50	97	59	27	25	97	38	85	57	3	44	90	28	77	36	40	67	116	31	80	32	29	94	97	44	25	60	47	60	38	7	18	9	38	14	114	26	4	0	57	4	0	66	9	107	4	0	109	1	2	3	1	2	1	8	8	6	5	11	13	1	10	11	9	1	3	1	5	4	12	10	9	11	8	12	9	2	13	4	3	12	6	13	15	12	3	10	13	15	10	6	12	13	5	14	16	10	9	14	15	13	13	4	4	7	2	15	3	1	12	10	8	5	16	1	6	8	11	15	10	2	8	2	15	8	17	2	11	8	8	11	2	6	8	15	11	1	11	8	2	13	17	15	15	17	11	10	7	16	14	13	15	10	14	1	15	14	1	12	16	12	3	1	12
29500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.535374407400664	0.000204937281653	0.000055793739558	0.272247875581662	0.109160492805500	0.000000000000000	0.000000000000000	2	-3	3	-3	4	8	7	0	-2	11	0	0	11	1	-4	0	5	16	-2	6	6	10	-1	-4	3	-5	-4	-4	2	10	0	2	4	-6	0	12	-1	-2	3	2	0	3	-1	-3	14	-3	1	-4	15	-3	4	0	1	-5	10	-2	-5	-4	6	-5	-6	-3	-4	13	-5	-2	0	3	4	4	2	-4	9	6	6	-6	3	-2	-5	0	-2	-1	3	9	8	7	6	11	-2	-4	10	0	-2	1	-3	-5	5	-4	4	13	0	2	-1	-1	2	11	-3	6	-2	7	9	-4	-4	0	-4	1	35	78	37	0	26	0	75	92	36	57	8	63	79	34	9	23	33	78	81	59	74	27	57	51	10	11	108	79	115	50	2	104	64	62	96	52	65	95	80	31	96	24	87	90	105	38	24	96	33	78	74	4	54	6	12	114	70	60	44	48	51	60	36	5	74	42	14	35	92	21	3	24	115	87	74	11	98	51	97	18	27	26	66	91	114	15	24	94	11	19	3	26	20	85	89	45	57	22	39	31	77	94	114	52	48	50	0	4	4	0	66	106	34	86	0	3	5	3	2	1	3	1	7	7	6	8	9	13	12	11	5	9	4	6	7	10	12	9	11	13	2	13	12	12	3	13	3	8	12	3	13	15	7	8	10	13	15	2	10	12	13	5	14	16	6	6	14	15	13	13	6	3	3	1	15	1	6	16	11	1	8	16	4	9	4	3	15	9	3	11	2	15	3	17	3	8	6	4	12	11	1	4	15	4	5	5	4	1	13	17	15	15	17	2	10	8	16	14	13	15	5	14	1	15	14	1	12	16	16	10	1	12
30000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.508089965989887	0.000195454095355	0.000056512350889	0.289133623864596	0.116413078635439	0.000000000000000	0.000000000000000	-3	-5	4	1	4	6	-6	2	5	6	-4	3	3	3	0	0	-2	-3	-6	14	4	3	5	5	2	10	0	-1	-3	-5	0	3	-3	2	7	2	-4	0	2	-4	-5	14	1	12	-6	-1	-4	-4	-3	8	-1	11	-2	-4	-3	8	0	-1	9	3	5	-3	6	6	7	3	-4	12	7	9	-6	-4	1	-3	-5	-1	2	3	2	5	20	-5	-4	-2	1	-4	-5	-2	-4	-6	0	1	-5	5	12	1	4	6	14	1	-4	18	-2	-1	-6	3	21	-3	3	-2	5	-4	9	-3	3	11	43	9	5	0	22	0	58	46	85	4	19	71	115	112	39	49	73	63	24	20	87	58	77	17	16	84	113	34	104	84	82	26	4	67	67	80	82	8	84	39	8	47	93	101	28	104	56	99	62	2	110	30	15	47	110	40	49	78	13	22	105	5	12	12	48	48	54	6	55	31	112	89	19	102	40	16	45	83	61	49	45	89	110	110	76	39	8	54	17	10	4	43	85	35	83	74	93	2	106	89	19	112	45	90	97	79	0	19	93	0	112	97	70	97	0	92	4	7	1	1	2	1	7	10	5	8	12	13	12	2	10	4	13	10	3	10	12	6	11	8	8	8	2	11	1	13	9	1	11	8	13	15	7	12	3	4	3	7	9	13	10	9	14	16	3	1	1	15	12	13	4	16	8	6	15	2	13	16	13	8	12	16	8	12	3	9	15	8	8	11	9	9	2	17	10	3	9	7	12	6	7	1	15	11	8	6	10	8	13	17	15	15	17	1	3	11	16	14	13	15	11	1	1	15	14	1	6	16	1	8	1	7
30500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.486623957258749	0.000201666646096	0.000061383404336	0.304380548415963	0.112820379944512	0.000000000000000	0.000000000000000	2	-5	-3	-2	-6	1	0	10	2	2	8	13	-2	-1	2	-6	-1	-4	2	3	17	-4	1	-3	-3	-2	4	-4	1	4	16	-6	1	2	8	3	8	11	2	-4	3	1	7	-2	10	2	-5	8	8	1	7	-4	0	12	-5	-1	5	6	-3	-2	6	-1	9	2	-3	-3	6	-2	-1	8	14	2	11	21	-5	4	-2	-2	7	0	-2	-6	7	-4	18	-2	5	4	0	1	-1	-1	-4	-4	4	-1	10	-1	5	10	3	4	-6	-3	6	4	30	-4	-3	19	4	5	-3	6	-4	15	49	39	54	0	36	0	73	85	102	80	97	116	86	53	98	50	55	102	3	86	97	40	35	6	40	15	97	39	27	80	85	101	85	29	32	48	110	72	52	109	64	58	47	5	98	14	9	4	95	44	59	85	85	82	1	110	66	8	84	42	6	40	92	108	30	67	25	77	29	100	14	50	77	74	52	47	109	71	25	65	24	29	100	96	82	18	27	56	39	4	102	93	4	89	116	30	8	20	64	53	24	63	36	70	49	112	0	22	1	0	45	81	113	22	0	68	2	5	5	1	8	1	4	13	9	2	1	13	2	11	5	1	13	2	9	10	3	7	9	1	1	8	11	3	9	11	6	12	13	13	13	15	7	4	9	10	5	12	1	2	2	11	14	16	13	6	9	15	8	6	1	12	5	6	15	8	13	16	13	10	8	16	12	12	4	11	15	8	4	1	2	8	3	17	6	5	2	7	12	10	1	11	7	11	11	5	1	8	13	17	15	15	17	7	5	8	16	14	13	15	1	4	1	15	14	1	13	16	6	11	1	3
31000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.475794538417641	0.000174014203850	0.000054448530234	0.312897045353507	0.129055685152010	0.000000000000000	0.000000000000000	1	-2	2	-5	1	1	-2	13	-4	16	0	-4	7	8	8	3	0	-2	5	2	4	7	2	0	-4	2	-6	-5	-3	3	1	-1	-5	-2	-5	8	0	3	0	3	13	-6	5	0	6	-6	0	13	9	2	7	-6	8	-4	5	5	12	-5	-6	-5	18	3	-1	1	1	0	6	2	-4	-1	5	6	-6	14	-3	-2	7	5	6	19	6	4	8	3	10	-3	-4	-1	11	-3	-6	5	7	4	10	-5	1	-1	-3	4	-4	4	10	1	4	7	28	16	4	11	4	-5	-2	1	21	0	56	63	11	0	93	0	5	48	41	99	44	52	42	85	18	105	103	101	13	81	93	69	37	68	40	115	70	75	100	39	49	2	100	21	24	37	31	108	62	91	83	11	38	69	49	30	55	29	94	32	110	81	23	86	65	27	75	59	101	89	39	93	96	114	60	116	19	53	102	79	114	41	17	74	22	94	50	15	30	93	115	62	112	86	48	22	75	89	38	97	27	3	57	12	72	4	109	109	113	18	112	110	43	81	84	40	0	15	100	0	45	71	73	53	0	34	4	1	7	1	4	1	1	13	7	7	9	13	2	11	10	5	1	3	7	10	1	2	4	2	1	12	11	8	5	7	5	1	10	13	13	15	15	2	9	9	8	9	7	5	10	10	14	16	6	4	9	15	6	2	1	12	11	11	15	5	13	16	13	6	7	16	12	12	11	4	5	14	9	1	1	10	9	17	9	4	3	11	16	12	6	2	7	3	2	3	9	10	13	17	7	15	17	8	10	9	16	14	13	15	12	8	1	15	14	1	13	16	6	7	1	12
31500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.497509605320583	0.000204619664837	0.000060649469037	0.296400979276544	0.125562420493908	0.000000000000000	0.000000000000000	-1	4	1	4	-1	-2	5	3	2	11	-5	-3	3	16	0	8	2	3	-2	-3	-5	-6	4	13	3	16	7	0	7	3	0	-2	1	17	0	9	-1	-3	-6	-5	9	7	-2	10	12	3	0	0	10	-1	7	1	-5	-5	-4	-1	0	7	-3	8	1	0	11	-3	5	7	1	6	-1	9	16	2	4	2	7	-2	-2	-5	-2	-4	-4	-4	3	5	-5	4	-1	-1	-1	13	-3	9	4	12	-4	-2	-3	4	13	-1	-1	-6	-1	-2	-2	2	12	8	-1	27	-4	9	-2	-4	36	8	23	13	46	0	75	0	93	39	81	70	64	22	105	48	2	34	103	19	114	25	45	40	84	102	1	50	39	25	7	34	79	86	30	19	25	110	86	43	33	78	19	103	16	18	113	75	112	24	31	27	42	21	43	101	1	12	72	83	20	90	28	111	74	95	77	33	39	100	115	110	111	111	102	23	20	19	87	38	13	112	51	67	87	50	97	68	115	113	100	8	62	23	23	78	103	39	32	24	99	18	55	90	75	40	51	33	0	101	10	0	78	21	46	2	0	63	3	2	5	1	1	1	3	4	4	7	7	13	5	3	7	5	5	13	6	12	9	8	2	4	8	12	5	10	7	8	11	13	5	12	15	15	15	6	4	7	4	10	6	7	9	4	14	16	9	6	6	15	11	12	13	8	6	5	15	13	13	16	11	6	16	8	12	8	3	7	9	14	5	15	2	3	5	17	3	6	5	6	16	13	9	6	9	8	9	6	5	2	5	17	6	15	17	9	1	5	16	12	10	15	7	5	1	15	14	1	8	16	3	9	1	14
32000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.490808439210367	0.000214386393232	0.000064583598900	0.301248591040687	0.145073039483713	0.000000000000000	0.000000000000000	9	5	11	-4	-6	-2	0	10	1	3	1	7	10	-4	1	9	0	-4	6	5	10	9	-3	0	8	-4	9	7	-4	2	7	4	5	1	-6	17	1	7	1	3	2	-5	17	9	1	4	-4	1	-2	-3	-5	-3	8	11	-5	7	15	8	9	9	-6	3	3	1	-3	-1	4	20	0	0	6	0	0	2	4	-1	-2	-1	15	5	4	-6	-3	10	0	-4	-1	-2	-1	2	-6	3	6	-1	-3	5	-6	3	1	4	-3	14	1	9	6	-1	-2	-6	16	16	9	-4	0	10	27	0	71	72	66	0	17	0	22	98	27	110	108	97	19	9	9	16	103	69	91	89	87	48	93	24	88	52	7	26	40	46	67	39	34	25	81	110	52	43	106	70	74	89	93	21	115	106	64	66	89	49	81	15	80	104	95	9	5	57	93	15	82	45	33	101	11	18	15	4	75	81	69	37	86	95	3	13	88	16	40	95	7	49	70	92	104	33	67	74	87	50	88	95	114	31	1	79	30	84	101	30	82	7	13	85	96	100	0	55	110	0	18	76	8	115	0	18	4	2	4	1	8	1	4	5	2	2	6	5	5	7	6	10	4	13	8	6	9	2	4	3	10	11	5	12	12	10	1	13	3	7	15	15	1	2	7	4	7	3	1	11	4	10	1	16	11	1	2	15	10	12	13	12	6	8	15	13	13	16	11	6	16	4	5	4	2	6	1	14	1	15	12	7	1	17	4	3	9	5	16	13	9	10	10	13	11	8	11	9	8	17	4	15	17	5	2	2	16	12	11	5	3	8	1	15	14	1	16	16	11	1	1	14
32500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.506564525903077	0.000192936430905	0.000055981269686	0.290153961198468	0.143280656699976	0.000000000000000	0.000000000000000	1	5	12	-4	5	7	1	5	12	4	4	15	-1	0	0	-5	-6	8	3	4	5	8	1	-6	0	-6	-1	-1	-1	5	1	2	-2	5	-1	19	-2	9	6	-5	1	11	1	6	18	2	-6	-2	4	9	-6	-5	-6	4	5	7	1	6	2	5	-6	6	8	2	15	11	3	20	3	-6	-3	-2	7	9	3	-3	-5	-5	-1	0	-3	8	7	4	3	2	6	9	13	-4	-5	0	12	8	1	-5	-6	0	1	-3	1	-4	4	1	3	6	12	-1	-2	19	-2	-5	1	4	17	6	59	73	111	0	63	0	61	116	57	29	69	56	5	60	112	80	103	20	98	102	89	79	99	94	98	87	116	87	38	24	101	14	101	42	94	110	99	15	43	53	35	45	58	60	107	97	103	25	47	110	25	93	18	92	16	2	82	91	14	35	4	92	22	78	76	80	4	4	100	90	50	42	61	88	9	42	71	23	84	59	115	14	29	17	85	9	110	31	24	70	67	41	104	51	41	28	7	46	90	32	64	65	94	97	31	54	0	18	115	0	59	28	81	101	0	65	1	2	5	1	6	1	3	8	8	7	1	8	11	3	10	9	2	1	8	7	7	6	4	5	5	15	7	12	12	9	8	7	11	1	15	15	8	12	5	2	8	1	4	13	3	9	4	16	2	16	10	15	13	1	13	12	9	9	14	3	13	16	10	14	16	9	1	4	1	15	12	14	7	15	14	1	9	17	9	7	7	12	11	13	9	1	6	13	11	9	4	3	11	17	9	15	17	7	12	10	16	9	11	2	6	4	1	15	14	1	16	16	11	8	1	9
33000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.530182732892641	0.000216885720161	0.000059703757652	0.275277494562047	0.131753453923725	0.000000000000000	0.000000000000000	-2	1	0	4	-1	10	-2	5	5	1	-1	1	12	-5	1	8	7	-3	-4	8	-6	7	0	-1	-1	4	10	2	-5	12	-4	3	9	20	6	20	2	10	-5	-3	6	13	8	1	-6	-4	3	23	4	0	16	5	-5	1	-2	3	3	8	15	-5	-3	3	7	-3	5	-4	14	5	-1	3	9	7	1	3	-6	-4	5	15	9	9	11	6	-1	-4	0	7	7	11	9	1	-6	11	0	19	2	-4	4	1	4	6	2	3	5	17	9	-6	30	7	16	26	6	-4	5	1	34	-6	10	4	115	0	32	0	111	37	19	3	89	5	69	93	16	78	84	35	97	54	86	40	85	88	112	20	85	12	111	51	32	47	83	34	50	110	30	41	103	105	98	32	33	49	29	16	49	115	112	110	67	80	77	113	99	58	38	91	89	14	86	43	19	5	23	24	2	108	5	1	93	109	95	17	112	58	53	106	14	6	63	4	25	16	97	87	67	89	95	30	16	79	111	90	87	1	75	110	103	35	37	24	61	86	87	62	0	31	28	0	102	4	29	2	0	73	4	2	3	1	4	1	7	1	8	8	12	4	6	7	4	5	2	2	8	5	2	5	11	4	8	15	5	8	7	5	7	6	7	3	5	15	7	12	11	5	11	7	4	5	1	8	1	16	2	16	3	15	13	12	11	11	7	1	14	7	13	16	9	14	16	9	10	7	11	15	12	14	12	5	12	7	10	17	10	6	7	6	6	3	5	9	7	13	6	10	10	12	5	17	10	12	17	8	2	1	16	13	10	4	7	5	1	15	14	1	16	16	13	13	1	12
33500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.571827983496968	0.000228915759743	0.000057907266487	0.252963214728463	0.118711189908210	0.000000000000000	0.000000000000000	3	0	-6	4	0	0	-6	2	3	-6	-5	-5	-5	6	6	-4	7	1	13	0	8	8	0	3	-6	0	-6	3	14	5	9	-6	-2	13	7	20	4	8	9	14	2	-2	-2	0	11	-4	-5	8	13	-1	4	2	-4	2	-5	10	0	13	-3	2	-1	1	5	0	6	-2	4	6	14	6	7	6	6	4	1	0	2	-3	8	0	5	10	6	-2	-4	-3	2	4	4	7	9	10	-1	-3	2	-5	-3	13	2	7	2	-3	-2	6	7	3	14	-2	8	26	3	4	3	2	26	5	99	65	62	0	27	0	106	88	13	17	82	67	9	46	27	6	65	62	38	35	10	57	99	60	75	81	7	74	9	59	29	91	95	66	68	110	110	97	27	107	75	11	84	33	8	79	47	115	90	102	42	40	74	23	115	77	14	16	80	86	30	93	71	16	112	103	105	98	68	43	87	44	40	98	84	112	93	4	2	110	3	9	70	39	15	15	99	18	12	82	11	106	7	88	41	44	79	49	24	100	64	5	95	62	28	11	0	44	113	0	96	35	18	114	0	8	2	2	1	1	4	1	10	10	4	5	8	10	1	1	10	13	9	2	10	2	9	10	3	1	12	15	1	1	9	3	2	11	11	3	3	15	4	8	9	13	14	7	4	2	6	6	4	16	13	16	11	15	13	12	11	13	6	12	14	1	14	16	5	14	16	3	8	6	13	2	2	5	1	2	12	13	4	17	8	8	13	7	1	5	8	9	5	17	1	12	10	10	2	17	13	7	17	9	9	8	5	2	15	9	11	5	1	15	14	1	16	12	13	8	1	8
34000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.586651587965699	0.000225439577149	0.000055451070226	0.245968657887659	0.105345411778985	0.000000000000000	0.000000000000000	2	0	-6	4	11	8	-5	3	0	-1	8	-3	-3	7	3	-1	8	-5	-4	4	-3	-4	5	0	5	4	-1	12	1	6	8	15	4	-3	-6	-3	9	2	13	-6	0	0	8	0	-3	10	0	5	9	-6	3	-2	-1	2	3	-1	-1	-4	-5	7	-1	0	0	9	-6	13	-3	11	5	-4	-6	4	1	3	1	7	12	7	9	-3	-4	14	3	-5	-2	-5	5	5	7	8	15	8	-6	0	3	6	-5	4	-4	8	-4	3	17	-2	-4	5	18	-2	13	14	-5	24	12	3	27	3	61	12	99	0	108	0	75	2	115	95	51	69	93	51	51	6	101	91	87	82	111	14	15	87	107	75	33	111	87	105	108	37	8	78	30	82	66	62	39	61	94	90	30	10	110	79	21	95	38	106	54	2	42	50	2	11	85	73	98	114	94	4	112	16	48	110	116	13	115	106	53	36	93	27	67	52	85	83	36	92	97	36	103	68	13	109	40	78	28	7	91	22	26	55	63	47	60	75	74	60	74	87	30	15	36	91	0	1	52	0	39	113	74	15	0	72	4	2	1	1	6	1	5	8	1	4	1	8	6	11	8	13	4	7	8	9	8	13	3	13	4	15	2	12	10	6	9	14	14	2	2	15	11	4	10	13	14	1	3	5	3	3	4	16	13	10	9	11	11	7	11	13	7	6	14	7	14	16	5	14	16	11	3	7	13	2	10	9	12	8	7	5	10	17	5	11	13	8	11	1	6	11	2	17	6	13	9	9	1	17	13	8	17	3	15	7	4	8	2	4	4	8	1	15	14	1	16	12	11	3	1	6
